"","Player","Overs","Mdns","Runs","Wkts","Econ","Inns","","Opposition","Ground","Start Date","","Country","Date","Year","Day","Month","Yday","BPO","type"
"3546","AD Hales (ENG)",NA,NA,NA,"-","-","1","","v Australia","Birmingham","10 Jun 2017","","ENG",2017-06-10,2017,10,6,161,6,"ODI"
"3547","JJ Roy (ENG)",NA,NA,NA,"-","-","1","","v Australia","Birmingham","10 Jun 2017","","ENG",2017-06-10,2017,10,6,161,6,"ODI"
"3548","JE Root (ENG)",NA,NA,NA,"-","-","1","","v Australia","Birmingham","10 Jun 2017","","ENG",2017-06-10,2017,10,6,161,6,"ODI"
"3549","SPD Smith (AUS)",NA,NA,NA,"-","-","2","","v England","Birmingham","10 Jun 2017","","AUS",2017-06-10,2017,10,6,161,6,"ODI"
"3550","AJ Finch (AUS)",NA,NA,NA,"-","-","2","","v England","Birmingham","10 Jun 2017","","AUS",2017-06-10,2017,10,6,161,6,"ODI"
"3551","DA Warner (AUS)",NA,NA,NA,"-","-","2","","v England","Birmingham","10 Jun 2017","","AUS",2017-06-10,2017,10,6,161,6,"ODI"
"3552","MS Wade (AUS)",NA,NA,NA,"-","-","2","","v England","Birmingham","10 Jun 2017","","AUS",2017-06-10,2017,10,6,161,6,"ODI"
"3553","V Kohli (INDIA)",NA,NA,NA,"-","-","1","","v South Africa","The Oval","11 Jun 2017","","INDIA",2017-06-11,2017,11,6,162,6,"ODI"
"3554","KM Jadhav (INDIA)",NA,NA,NA,"-","-","1","","v South Africa","The Oval","11 Jun 2017","","INDIA",2017-06-11,2017,11,6,162,6,"ODI"
"3555","MS Dhoni (INDIA)",NA,NA,NA,"-","-","1","","v South Africa","The Oval","11 Jun 2017","","INDIA",2017-06-11,2017,11,6,162,6,"ODI"
"3556","Yuvraj Singh (INDIA)",NA,NA,NA,"-","-","1","","v South Africa","The Oval","11 Jun 2017","","INDIA",2017-06-11,2017,11,6,162,6,"ODI"
"3557","S Dhawan (INDIA)",NA,NA,NA,"-","-","1","","v South Africa","The Oval","11 Jun 2017","","INDIA",2017-06-11,2017,11,6,162,6,"ODI"
"3558","RG Sharma (INDIA)",NA,NA,NA,"-","-","1","","v South Africa","The Oval","11 Jun 2017","","INDIA",2017-06-11,2017,11,6,162,6,"ODI"
"3559","AB de Villiers (SA)",NA,NA,NA,"-","-","2","","v India","The Oval","11 Jun 2017","","SA",2017-06-11,2017,11,6,162,6,"ODI"
"3560","F du Plessis (SA)",NA,NA,NA,"-","-","2","","v India","The Oval","11 Jun 2017","","SA",2017-06-11,2017,11,6,162,6,"ODI"
"3561","DA Miller (SA)",NA,NA,NA,"-","-","2","","v India","The Oval","11 Jun 2017","","SA",2017-06-11,2017,11,6,162,6,"ODI"
"3562","Q de Kock (SA)",NA,NA,NA,"-","-","2","","v India","The Oval","11 Jun 2017","","SA",2017-06-11,2017,11,6,162,6,"ODI"
"3563","HM Amla (SA)",NA,NA,NA,"-","-","2","","v India","The Oval","11 Jun 2017","","SA",2017-06-11,2017,11,6,162,6,"ODI"
"3564","E Lewis (WI)",NA,NA,NA,"-","-","1","","v Afghanistan","Gros Islet","11 Jun 2017","","WI",2017-06-11,2017,11,6,162,6,"ODI"
"3565","JN Mohammed (WI)",NA,NA,NA,"-","-","1","","v Afghanistan","Gros Islet","11 Jun 2017","","WI",2017-06-11,2017,11,6,162,6,"ODI"
"3566","SD Hope (WI)",NA,NA,NA,"-","-","1","","v Afghanistan","Gros Islet","11 Jun 2017","","WI",2017-06-11,2017,11,6,162,6,"ODI"
"3567","KOA Powell (WI)",NA,NA,NA,"-","-","1","","v Afghanistan","Gros Islet","11 Jun 2017","","WI",2017-06-11,2017,11,6,162,6,"ODI"
"3568","JL Carter (WI)",NA,NA,NA,"-","-","1","","v Afghanistan","Gros Islet","11 Jun 2017","","WI",2017-06-11,2017,11,6,162,6,"ODI"
"3569","Javed Ahmadi (AFG)",NA,NA,NA,"-","-","2","","v West Indies","Gros Islet","11 Jun 2017","","AFG",2017-06-11,2017,11,6,162,6,"ODI"
"3570","Rahmat Shah (AFG)",NA,NA,NA,"-","-","2","","v West Indies","Gros Islet","11 Jun 2017","","AFG",2017-06-11,2017,11,6,162,6,"ODI"
"3571","Samiullah Shenwari (AFG)",NA,NA,NA,"-","-","2","","v West Indies","Gros Islet","11 Jun 2017","","AFG",2017-06-11,2017,11,6,162,6,"ODI"
"3572","Noor Ali Zadran (AFG)",NA,NA,NA,"-","-","2","","v West Indies","Gros Islet","11 Jun 2017","","AFG",2017-06-11,2017,11,6,162,6,"ODI"
"3573","Asghar Stanikzai (AFG)",NA,NA,NA,"-","-","2","","v West Indies","Gros Islet","11 Jun 2017","","AFG",2017-06-11,2017,11,6,162,6,"ODI"
"3574","Afsar Zazai (AFG)",NA,NA,NA,"-","-","2","","v West Indies","Gros Islet","11 Jun 2017","","AFG",2017-06-11,2017,11,6,162,6,"ODI"
"3575","Babar Azam (PAK)",NA,NA,NA,"-","-","1","","v Sri Lanka","Cardiff","12 Jun 2017","","PAK",2017-06-12,2017,12,6,163,6,"ODI"
"3576","Fakhar Zaman (PAK)",NA,NA,NA,"-","-","1","","v Sri Lanka","Cardiff","12 Jun 2017","","PAK",2017-06-12,2017,12,6,163,6,"ODI"
"3577","Shoaib Malik (PAK)",NA,NA,NA,"-","-","1","","v Sri Lanka","Cardiff","12 Jun 2017","","PAK",2017-06-12,2017,12,6,163,6,"ODI"
"3578","Azhar Ali (PAK)",NA,NA,NA,"-","-","1","","v Sri Lanka","Cardiff","12 Jun 2017","","PAK",2017-06-12,2017,12,6,163,6,"ODI"
"3579","Sarfraz Ahmed (PAK)",NA,NA,NA,"-","-","1","","v Sri Lanka","Cardiff","12 Jun 2017","","PAK",2017-06-12,2017,12,6,163,6,"ODI"
"3580","AD Mathews (SL)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","12 Jun 2017","","SL",2017-06-12,2017,12,6,163,6,"ODI"
"3581","N Dickwella (SL)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","12 Jun 2017","","SL",2017-06-12,2017,12,6,163,6,"ODI"
"3582","LD Chandimal (SL)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","12 Jun 2017","","SL",2017-06-12,2017,12,6,163,6,"ODI"
"3583","BKG Mendis (SL)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","12 Jun 2017","","SL",2017-06-12,2017,12,6,163,6,"ODI"
"3584","Azhar Ali (PAK)",NA,NA,NA,"-","-","1","","v England","Cardiff","14 Jun 2017","","PAK",2017-06-14,2017,14,6,165,6,"ODI"
"3585","Sarfraz Ahmed (PAK)",NA,NA,NA,"-","-","1","","v England","Cardiff","14 Jun 2017","","PAK",2017-06-14,2017,14,6,165,6,"ODI"
"3586","Babar Azam (PAK)",NA,NA,NA,"-","-","1","","v England","Cardiff","14 Jun 2017","","PAK",2017-06-14,2017,14,6,165,6,"ODI"
"3587","Fakhar Zaman (PAK)",NA,NA,NA,"-","-","1","","v England","Cardiff","14 Jun 2017","","PAK",2017-06-14,2017,14,6,165,6,"ODI"
"3588","Shoaib Malik (PAK)",NA,NA,NA,"-","-","1","","v England","Cardiff","14 Jun 2017","","PAK",2017-06-14,2017,14,6,165,6,"ODI"
"3589","AD Hales (ENG)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","14 Jun 2017","","ENG",2017-06-14,2017,14,6,165,6,"ODI"
"3590","JM Bairstow (ENG)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","14 Jun 2017","","ENG",2017-06-14,2017,14,6,165,6,"ODI"
"3591","JE Root (ENG)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","14 Jun 2017","","ENG",2017-06-14,2017,14,6,165,6,"ODI"
"3592","JC Buttler (ENG)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","14 Jun 2017","","ENG",2017-06-14,2017,14,6,165,6,"ODI"
"3593","EJG Morgan (ENG)",NA,NA,NA,"-","-","2","","v Pakistan","Cardiff","14 Jun 2017","","ENG",2017-06-14,2017,14,6,165,6,"ODI"
"3594","E Lewis (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3595","Asghar Stanikzai (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3596","ML Cummins (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3597","Gulbadin Naib (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3598","JN Mohammed (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3599","SD Hope (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3600","Afsar Zazai (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3601","KOA Powell (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3602","AS Joseph (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3603","Dawlat Zadran (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3604","JL Carter (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3605","R Powell (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3606","Nasir Jamal (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3607","AR Nurse (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3608","Mohammad Nabi (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3609","Rahmat Shah (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3610","JO Holder (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3611","Javed Ahmadi (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3612","Fareed Ahmad (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3613","RL Chase (WI)",NA,NA,NA,"-","-","-","","v Afghanistan","Gros Islet","14 Jun 2017","","WI",2017-06-14,2017,14,6,165,6,"ODI"
"3614","Noor Ali Zadran (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3615","Rashid Khan (AFG)",NA,NA,NA,"-","-","-","","v West Indies","Gros Islet","14 Jun 2017","","AFG",2017-06-14,2017,14,6,165,6,"ODI"
"3616","S Dhawan (INDIA)",NA,NA,NA,"-","-","1","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA",2017-06-15,2017,15,6,166,6,"ODI"
"3617","RG Sharma (INDIA)",NA,NA,NA,"-","-","1","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA",2017-06-15,2017,15,6,166,6,"ODI"
"3618","V Kohli (INDIA)",NA,NA,NA,"-","-","1","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA",2017-06-15,2017,15,6,166,6,"ODI"
"3619","MS Dhoni (INDIA)",NA,NA,NA,"-","-","1","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA",2017-06-15,2017,15,6,166,6,"ODI"
"3620","Yuvraj Singh (INDIA)",NA,NA,NA,"-","-","1","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA",2017-06-15,2017,15,6,166,6,"ODI"
"3621","Soumya Sarkar (BDESH)",NA,NA,NA,"-","-","2","","v India","Birmingham","15 Jun 2017","","BDESH",2017-06-15,2017,15,6,166,6,"ODI"
"3622","Mushfiqur Rahim (BDESH)",NA,NA,NA,"-","-","2","","v India","Birmingham","15 Jun 2017","","BDESH",2017-06-15,2017,15,6,166,6,"ODI"
"3623","Tamim Iqbal (BDESH)",NA,NA,NA,"-","-","2","","v India","Birmingham","15 Jun 2017","","BDESH",2017-06-15,2017,15,6,166,6,"ODI"
"3624","H Masakadza (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","15 Jun 2017","","ZIM",2017-06-15,2017,15,6,166,6,"ODI"
"3625","RP Burl (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","15 Jun 2017","","ZIM",2017-06-15,2017,15,6,166,6,"ODI"
"3626","CR Ervine (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","15 Jun 2017","","ZIM",2017-06-15,2017,15,6,166,6,"ODI"
"3627","MN Waller (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","15 Jun 2017","","ZIM",2017-06-15,2017,15,6,166,6,"ODI"
"3628","PJ Moor (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","15 Jun 2017","","ZIM",2017-06-15,2017,15,6,166,6,"ODI"
"3629","CD Wallace (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","15 Jun 2017","","SCOT",2017-06-15,2017,15,6,166,6,"ODI"
"3630","MH Cross (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","15 Jun 2017","","SCOT",2017-06-15,2017,15,6,166,6,"ODI"
"3631","KJ Coetzer (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","15 Jun 2017","","SCOT",2017-06-15,2017,15,6,166,6,"ODI"
"3632","PL Mommsen (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","15 Jun 2017","","SCOT",2017-06-15,2017,15,6,166,6,"ODI"
"3633","CS MacLeod (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","15 Jun 2017","","SCOT",2017-06-15,2017,15,6,166,6,"ODI"
"3634","MN Waller (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","17 Jun 2017","","ZIM",2017-06-17,2017,17,6,168,6,"ODI"
"3635","SF Mire (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","17 Jun 2017","","ZIM",2017-06-17,2017,17,6,168,6,"ODI"
"3636","H Masakadza (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","17 Jun 2017","","ZIM",2017-06-17,2017,17,6,168,6,"ODI"
"3637","PJ Moor (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","17 Jun 2017","","ZIM",2017-06-17,2017,17,6,168,6,"ODI"
"3638","CR Ervine (ZIM)",NA,NA,NA,"-","-","1","","v Scotland","Edinburgh","17 Jun 2017","","ZIM",2017-06-17,2017,17,6,168,6,"ODI"
"3639","KJ Coetzer (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","17 Jun 2017","","SCOT",2017-06-17,2017,17,6,168,6,"ODI"
"3640","PL Mommsen (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","17 Jun 2017","","SCOT",2017-06-17,2017,17,6,168,6,"ODI"
"3641","CD Wallace (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","17 Jun 2017","","SCOT",2017-06-17,2017,17,6,168,6,"ODI"
"3642","MH Cross (SCOT)",NA,NA,NA,"-","-","2","","v Zimbabwe","Edinburgh","17 Jun 2017","","SCOT",2017-06-17,2017,17,6,168,6,"ODI"
"3643","V Kohli (INDIA)",NA,NA,NA,"-","-","1","","v Pakistan","The Oval","18 Jun 2017","","INDIA",2017-06-18,2017,18,6,169,6,"ODI"
"3644","MS Dhoni (INDIA)",NA,NA,NA,"-","-","1","","v Pakistan","The Oval","18 Jun 2017","","INDIA",2017-06-18,2017,18,6,169,6,"ODI"
"3645","Yuvraj Singh (INDIA)",NA,NA,NA,"-","-","1","","v Pakistan","The Oval","18 Jun 2017","","INDIA",2017-06-18,2017,18,6,169,6,"ODI"
"3646","S Dhawan (INDIA)",NA,NA,NA,"-","-","1","","v Pakistan","The Oval","18 Jun 2017","","INDIA",2017-06-18,2017,18,6,169,6,"ODI"
"3647","RG Sharma (INDIA)",NA,NA,NA,"-","-","1","","v Pakistan","The Oval","18 Jun 2017","","INDIA",2017-06-18,2017,18,6,169,6,"ODI"
"3648","Shoaib Malik (PAK)",NA,NA,NA,"-","-","2","","v India","The Oval","18 Jun 2017","","PAK",2017-06-18,2017,18,6,169,6,"ODI"
"3649","Azhar Ali (PAK)",NA,NA,NA,"-","-","2","","v India","The Oval","18 Jun 2017","","PAK",2017-06-18,2017,18,6,169,6,"ODI"
"3650","Sarfraz Ahmed (PAK)",NA,NA,NA,"-","-","2","","v India","The Oval","18 Jun 2017","","PAK",2017-06-18,2017,18,6,169,6,"ODI"
"3651","Babar Azam (PAK)",NA,NA,NA,"-","-","2","","v India","The Oval","18 Jun 2017","","PAK",2017-06-18,2017,18,6,169,6,"ODI"
"3652","AD Hales (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Southampton","21 Jun 2017","","ENG",2017-06-21,2017,21,6,172,6,"T20I"
"3653","JM Bairstow (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Southampton","21 Jun 2017","","ENG",2017-06-21,2017,21,6,172,6,"T20I"
"3654","SW Billings (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Southampton","21 Jun 2017","","ENG",2017-06-21,2017,21,6,172,6,"T20I"
"3655","JJ Roy (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Southampton","21 Jun 2017","","ENG",2017-06-21,2017,21,6,172,6,"T20I"
"3656","JC Buttler (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Southampton","21 Jun 2017","","ENG",2017-06-21,2017,21,6,172,6,"T20I"
"3657","EJG Morgan (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Southampton","21 Jun 2017","","ENG",2017-06-21,2017,21,6,172,6,"T20I"
"3658","RR Hendricks (SA)",NA,NA,NA,"-","-","2","","v England","Southampton","21 Jun 2017","","SA",2017-06-21,2017,21,6,172,6,"T20I"
"3659","AB de Villiers (SA)",NA,NA,NA,"-","-","2","","v England","Southampton","21 Jun 2017","","SA",2017-06-21,2017,21,6,172,6,"T20I"
"3660","DA Miller (SA)",NA,NA,NA,"-","-","2","","v England","Southampton","21 Jun 2017","","SA",2017-06-21,2017,21,6,172,6,"T20I"
"3661","F Behardien (SA)",NA,NA,NA,"-","-","2","","v England","Southampton","21 Jun 2017","","SA",2017-06-21,2017,21,6,172,6,"T20I"
"3662","M Mosehle (SA)",NA,NA,NA,"-","-","2","","v England","Southampton","21 Jun 2017","","SA",2017-06-21,2017,21,6,172,6,"T20I"
"3663","R Ashwin (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3664","HH Pandya (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3665","S Dhawan (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3666","V Kohli (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3667","AM Rahane (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3668","KM Jadhav (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3669","B Kumar (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3670","MS Dhoni (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3671","UT Yadav (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3672","Yuvraj Singh (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3673","Kuldeep Yadav (INDIA)",NA,NA,NA,"-","-","-","","v West Indies","Port of Spain","23 Jun 2017","","INDIA",2017-06-23,2017,23,6,174,6,"ODI"
"3674","RL Chase (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","23 Jun 2017","","WI",2017-06-23,2017,23,6,174,6,"ODI"
"3675","E Lewis (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","23 Jun 2017","","WI",2017-06-23,2017,23,6,174,6,"ODI"
"3676","JN Mohammed (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","23 Jun 2017","","WI",2017-06-23,2017,23,6,174,6,"ODI"
"3677","SD Hope (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","23 Jun 2017","","WI",2017-06-23,2017,23,6,174,6,"ODI"
"3678","KOA Powell (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","23 Jun 2017","","WI",2017-06-23,2017,23,6,174,6,"ODI"
"3679","JC Buttler (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Taunton","23 Jun 2017","","ENG",2017-06-23,2017,23,6,174,6,"T20I"
"3680","EJG Morgan (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Taunton","23 Jun 2017","","ENG",2017-06-23,2017,23,6,174,6,"T20I"
"3681","LS Livingstone (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Taunton","23 Jun 2017","","ENG",2017-06-23,2017,23,6,174,6,"T20I"
"3682","JM Bairstow (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Taunton","23 Jun 2017","","ENG",2017-06-23,2017,23,6,174,6,"T20I"
"3683","SW Billings (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Taunton","23 Jun 2017","","ENG",2017-06-23,2017,23,6,174,6,"T20I"
"3684","JJ Roy (ENG)",NA,NA,NA,"-","-","1","","v South Africa","Taunton","23 Jun 2017","","ENG",2017-06-23,2017,23,6,174,6,"T20I"
"3685","DA Miller (SA)",NA,NA,NA,"-","-","2","","v England","Taunton","23 Jun 2017","","SA",2017-06-23,2017,23,6,174,6,"T20I"
"3686","M Mosehle (SA)",NA,NA,NA,"-","-","2","","v England","Taunton","23 Jun 2017","","SA",2017-06-23,2017,23,6,174,6,"T20I"
"3687","AB de Villiers (SA)",NA,NA,NA,"-","-","2","","v England","Taunton","23 Jun 2017","","SA",2017-06-23,2017,23,6,174,6,"T20I"
"3688","F Behardien (SA)",NA,NA,NA,"-","-","2","","v England","Taunton","23 Jun 2017","","SA",2017-06-23,2017,23,6,174,6,"T20I"
"3689","RR Hendricks (SA)",NA,NA,NA,"-","-","2","","v England","Taunton","23 Jun 2017","","SA",2017-06-23,2017,23,6,174,6,"T20I"
"3690","E Lewis (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","25 Jun 2017","","WI",2017-06-25,2017,25,6,176,6,"ODI"
"3691","JN Mohammed (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","25 Jun 2017","","WI",2017-06-25,2017,25,6,176,6,"ODI"
"3692","KOA Powell (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","25 Jun 2017","","WI",2017-06-25,2017,25,6,176,6,"ODI"
"3693","SD Hope (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","25 Jun 2017","","WI",2017-06-25,2017,25,6,176,6,"ODI"
"3694","RL Chase (WI)",NA,NA,NA,"-","-","1","","v India","Port of Spain","25 Jun 2017","","WI",2017-06-25,2017,25,6,176,6,"ODI"
"3695","V Kohli (INDIA)",NA,NA,NA,"-","-","2","","v West Indies","Port of Spain","25 Jun 2017","","INDIA",2017-06-25,2017,25,6,176,6,"ODI"
"3696","AM Rahane (INDIA)",NA,NA,NA,"-","-","2","","v West Indies","Port of Spain","25 Jun 2017","","INDIA",2017-06-25,2017,25,6,176,6,"ODI"
"3697","KM Jadhav (INDIA)",NA,NA,NA,"-","-","2","","v West Indies","Port of Spain","25 Jun 2017","","INDIA",2017-06-25,2017,25,6,176,6,"ODI"
"3698","MS Dhoni (INDIA)",NA,NA,NA,"-","-","2","","v West Indies","Port of Spain","25 Jun 2017","","INDIA",2017-06-25,2017,25,6,176,6,"ODI"
"3699","S Dhawan (INDIA)",NA,NA,NA,"-","-","2","","v West Indies","Port of Spain","25 Jun 2017","","INDIA",2017-06-25,2017,25,6,176,6,"ODI"
"3700","M Mosehle (SA)",NA,NA,NA,"-","-","1","","v England","Cardiff","25 Jun 2017","","SA",2017-06-25,2017,25,6,176,6,"T20I"
"3701","AB de Villiers (SA)",NA,NA,NA,"-","-","1","","v England","Cardiff","25 Jun 2017","","SA",2017-06-25,2017,25,6,176,6,"T20I"
"3702","F Behardien (SA)",NA,NA,NA,"-","-","1","","v England","Cardiff","25 Jun 2017","","SA",2017-06-25,2017,25,6,176,6,"T20I"
"3703","RR Hendricks (SA)",NA,NA,NA,"-","-","1","","v England","Cardiff","25 Jun 2017","","SA",2017-06-25,2017,25,6,176,6,"T20I"
"3704","JT Smuts (SA)",NA,NA,NA,"-","-","1","","v England","Cardiff","25 Jun 2017","","SA",2017-06-25,2017,25,6,176,6,"T20I"
"3705","DA Miller (SA)",NA,NA,NA,"-","-","1","","v England","Cardiff","25 Jun 2017","","SA",2017-06-25,2017,25,6,176,6,"T20I"
"3706","AD Hales (ENG)",NA,NA,NA,"-","-","2","","v South Africa","Cardiff","25 Jun 2017","","ENG",2017-06-25,2017,25,6,176,6,"T20I"
"3707","SW Billings (ENG)",NA,NA,NA,"-","-","2","","v South Africa","Cardiff","25 Jun 2017","","ENG",2017-06-25,2017,25,6,176,6,"T20I"
"3708","JJ Roy (ENG)",NA,NA,NA,"-","-","2","","v South Africa","Cardiff","25 Jun 2017","","ENG",2017-06-25,2017,25,6,176,6,"T20I"
"3709","JC Buttler (ENG)",NA,NA,NA,"-","-","2","","v South Africa","Cardiff","25 Jun 2017","","ENG",2017-06-25,2017,25,6,176,6,"T20I"
"3710","LS Livingstone (ENG)",NA,NA,NA,"-","-","2","","v South Africa","Cardiff","25 Jun 2017","","ENG",2017-06-25,2017,25,6,176,6,"T20I"
"3711","DJ Malan (ENG)",NA,NA,NA,"-","-","2","","v South Africa","Cardiff","25 Jun 2017","","ENG",2017-06-25,2017,25,6,176,6,"T20I"
