"","Player","Overs","Mdns","Runs","Wkts","Econ","Inns","","Opposition","Ground","Start Date","","Country","Date","Year","Day","Month","Yday","BPO","type"
"135","Shadab Khan (PAK)",4,0,7,"3","1.75","1","","v West Indies","Bridgetown","26 Mar 2017","","PAK",2017-03-26,2017,26,3,85,6,"T20I"
"136","SP Narine (WI)",4,0,11,"3","2.75","1","","v Afghanistan","Basseterre","2 Jun 2017","","WI",2017-06-02,2017,2,6,153,6,"T20I"
"137","KOK Williams (WI)",2.3,0,11,"3","4.40","2","","v Afghanistan","Basseterre","3 Jun 2017","","WI",2017-06-03,2017,3,6,154,6,"T20I"
"138","Amjad Javed (UAE)",4,0,12,"3","3.00","1","","v P.N.G.","Abu Dhabi","12 Apr 2017","","UAE",2017-04-12,2017,12,4,102,6,"T20I"
"139","I Udana (SL)",2.3,0,13,"3","5.20","1","","v South Africa","Johannesburg","22 Jan 2017","","SL",2017-01-22,2017,22,1,22,6,"T20I"
"140","Mosaddek Hossain (BDESH)",3,0,13,"3","4.33","1","","v New Zealand","Cardiff","9 Jun 2017","","BDESH",2017-06-09,2017,9,6,160,6,"ODI"
"141","JJ Bumrah (INDIA)",2.3,0,14,"3","5.60","2","","v England","Bengaluru","1 Feb 2017","","INDIA",2017-02-01,2017,1,2,32,6,"T20I"
"142","Mohammad Nabi (AFG)",3.5,0,14,"3","3.65","2","","v Zimbabwe","Harare","26 Feb 2017","","AFG",2017-02-26,2017,26,2,57,6,"ODI"
"143","SC Williams (ZIM)",5.3,1,15,"3","2.72","2","","v Afghanistan","Harare","21 Feb 2017","","ZIM",2017-02-21,2017,21,2,52,6,"ODI"
"144","PWH de Silva (SL)",2.4,0,15,"3","5.62","1","","v Zimbabwe","Galle","2 Jul 2017","","SL",2017-07-02,2017,2,7,183,6,"ODI"
"145","WB Rankin (IRE)",3,0,16,"3","5.33","2","","v U.A.E.","Dubai (DSC)","18 Jan 2017","","IRE",2017-01-18,2017,18,1,18,6,"T20I"
"146","CR Woakes (ENG)",8,1,16,"3","2.00","2","","v West Indies","Bridgetown","9 Mar 2017","","ENG",2017-03-09,2017,9,3,68,6,"ODI"
"147","Mohammad Amir (PAK)",6,2,16,"3","2.66","2","","v India","The Oval","18 Jun 2017","","PAK",2017-06-18,2017,18,6,169,6,"ODI"
"148","JM Anderson (ENG)",14,7,16,"3","1.14","4","","v South Africa","Manchester","4 Aug 2017","","ENG",2017-08-04,2017,4,8,216,6,"Test"
"149","Zahoor Khan (UAE)",5.2,0,17,"3","3.18","1","","v Scotland","Dubai (DSC)","24 Jan 2017","","UAE",2017-01-24,2017,24,1,24,6,"ODI"
"150","Bilal Khan (OMAN)",4,0,18,"3","4.50","1","","v Hong Kong","Abu Dhabi","16 Jan 2017","","OMAN",2017-01-16,2017,16,1,16,6,"T20I"
"151","Imran Tahir (SA)",4,0,18,"3","4.50","2","","v Sri Lanka","Cape Town","25 Jan 2017","","SA",2017-01-25,2017,25,1,25,6,"T20I"
"152","Mohammad Naveed (UAE)",4,0,18,"3","4.50","2","","v P.N.G.","Abu Dhabi","14 Apr 2017","","UAE",2017-04-14,2017,14,4,104,6,"T20I"
"153","M Morkel (SA)",7,1,18,"3","2.57","2","","v Pakistan","Birmingham","7 Jun 2017","","SA",2017-06-07,2017,7,6,158,6,"ODI"
"154","D Pretorius (SA)",7,2,19,"3","2.71","1","","v Sri Lanka","Johannesburg","4 Feb 2017","","SA",2017-02-04,2017,4,2,35,6,"ODI"
"155","AL Phehlukwayo (SA)",3,0,19,"3","6.33","2","","v New Zealand","Auckland","17 Feb 2017","","SA",2017-02-17,2017,17,2,48,6,"T20I"
"156","Hasan Ali (PAK)",6.3,1,19,"3","2.92","2","","v India","The Oval","18 Jun 2017","","PAK",2017-06-18,2017,18,6,169,6,"ODI"
"157","JP Faulkner (AUS)",3,0,20,"3","6.66","2","","v Sri Lanka","Adelaide","22 Feb 2017","","AUS",2017-02-22,2017,22,2,53,6,"T20I"
"158","Amir Hamza (AFG)",4,0,20,"3","5.00","2","","v Zimbabwe","Harare","26 Feb 2017","","AFG",2017-02-26,2017,26,2,57,6,"ODI"
"159","A Vala (PNG)",10,1,20,"3","2.00","2","","v U.A.E.","Abu Dhabi","2 Apr 2017","","PNG",2017-04-02,2017,2,4,92,6,"ODI"
"160","Sikandar Raza (ZIM)",10,1,21,"3","2.10","1","","v Sri Lanka","Hambantota","10 Jul 2017","","ZIM",2017-07-10,2017,10,7,191,6,"ODI"
"161","KA Maharaj (SA)",10,1,21,"3","2.10","2","","v England","Nottingham","14 Jul 2017","","SA",2017-07-14,2017,14,7,195,6,"Test"
"162","CJ Jordan (ENG)",4,0,22,"3","5.50","1","","v India","Nagpur","29 Jan 2017","","ENG",2017-01-29,2017,29,1,29,6,"T20I"
"163","SP Narine (WI)",4,0,22,"3","5.50","1","","v Pakistan","Port of Spain","30 Mar 2017","","WI",2017-03-30,2017,30,3,89,6,"T20I"
"164","JO Holder (WI)",11.4,4,23,"3","1.97","4","","v Pakistan","Bridgetown","30 Apr 2017","","WI",2017-04-30,2017,30,4,120,6,"Test"
"165","LE Plunkett (ENG)",8,0,23,"3","2.87","2","","v Ireland","Lord's","7 May 2017","","ENG",2017-05-07,2017,7,5,127,6,"ODI"
