"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"239","RB Richardson (WI)","0","14","7","0","0","0.00","2","","v Australia","Kingston","28 Apr 1984",""
"240","RA Harper (WI)","0","3","2","0","0","0.00","2","","v Australia","Kingston","28 Apr 1984",""
"241","JN Maguire (AUS)","0","4","4","0","0","0.00","3","","v West Indies","Kingston","28 Apr 1984",""
"242","G Fowler (ENG)","0","8","9","0","0","0.00","1","","v West Indies","Birmingham","14 Jun 1984",""
"243","DW Randall (ENG)","0","6","3","0","0","0.00","1","","v West Indies","Birmingham","14 Jun 1984",""
"244","J Garner (WI)","0","3","6","0","0","0.00","2","","v England","Birmingham","14 Jun 1984",""
"245","G Miller (ENG)","0","15","6","0","0","0.00","1","","v West Indies","Lord's","28 Jun 1984",""
"246","BC Broad (ENG)","0","9","3","0","0","0.00","3","","v West Indies","Lord's","28 Jun 1984",""
"247","EAE Baptiste (WI)","0","7","4","0","0","0.00","2","","v England","Leeds","12 Jul 1984",""
"248","RA Harper (WI)","0","2","2","0","0","0.00","2","","v England","Leeds","12 Jul 1984",""
"249","J Garner (WI)","0","9","1","0","0","0.00","2","","v England","Leeds","12 Jul 1984",""
"250","NGB Cook (ENG)","0","11","13","0","0","0.00","3","","v West Indies","Leeds","12 Jul 1984",""
"251","MA Holding (WI)","0","5","8","0","0","0.00","1","","v England","Manchester","26 Jul 1984",""
"252","PR Downton (ENG)","0","20","9","0","0","0.00","2","","v West Indies","Manchester","26 Jul 1984",""
"253","PI Pocock (ENG)","0","27","14","0","0","0.00","2","","v West Indies","Manchester","26 Jul 1984",""
"254","NG Cowans (ENG)","0","2","4","0","0","0.00","2","","v West Indies","Manchester","26 Jul 1984",""
"255","G Fowler (ENG)","0","1","2","0","0","0.00","3","","v West Indies","Manchester","26 Jul 1984",""
