"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date","","Country","Notout","Date","Year","Day","Month","Yday","Fours","Sixs","type"
"129","KL Rahul (INDIA)",90,"289",205,"9","0",43.9,"1","","v Australia","Bengaluru","4 Mar 2017","","INDIA","",2017-03-04,2017,4,3,63,9,0,"Test"
"130","Najeeb Tarakai (AFG)",90,"79",58,"7","5",155.17,"1","","v Ireland","Greater Noida","10 Mar 2017","","AFG","",2017-03-10,2017,10,3,69,7,5,"T20I"
"131","Q de Kock (SA)",90,"160",118,"11","2",76.27,"1","","v New Zealand","Hamilton","25 Mar 2017","","SA","",2017-03-25,2017,25,3,84,11,2,"Test"
"132","SD Hope (WI)",90,"314",209,"8","1",43.06,"3","","v Pakistan","Bridgetown","30 Apr 2017","","WI","",2017-04-30,2017,30,4,120,8,1,"Test"
"133","MN Samuels (WI)",89,"-",66,"9","3",134.84,"2","","v Afghanistan","Basseterre","5 Jun 2017","","WI","TRUE",2017-06-05,2017,5,6,156,9,3,"T20I"
"134","D Elgar (SA)",89,"362",249,"9","0",35.74,"3","","v New Zealand","Dunedin","8 Mar 2017","","SA","",2017-03-08,2017,8,3,67,9,0,"Test"
"135","Mohammad Nabi (AFG)",89,"31",30,"6","9",296.66,"1","","v Ireland","Greater Noida","12 Mar 2017","","AFG","",2017-03-12,2017,12,3,71,6,9,"T20I"
"136","T Bavuma (SA)",89,"227",160,"9","0",55.62,"2","","v New Zealand","Wellington","16 Mar 2017","","SA","",2017-03-16,2017,16,3,75,9,0,"Test"
"137","BKG Mendis (SL)",89,"113",93,"11","1",95.69,"2","","v India","The Oval","8 Jun 2017","","SL","",2017-06-08,2017,8,6,159,11,1,"ODI"
"138","JA Raval (NZ)",88,"396",254,"10","0",34.64,"2","","v South Africa","Hamilton","25 Mar 2017","","NZ","",2017-03-25,2017,25,3,84,10,0,"Test"
"139","Mohammad Hafeez (PAK)",88,"-",92,"6","3",95.65,"1","","v West Indies","Providence","7 Apr 2017","","PAK","",2017-04-07,2017,7,4,97,6,3,"ODI"
"140","AN Cook (ENG)",88,"300",200,"10","0",44,"1","","v South Africa","The Oval","27 Jul 2017","","ENG","",2017-07-27,2017,27,7,208,10,0,"Test"
"141","Soumya Sarkar (BDESH)",87,"-",68,"11","2",127.94,"2","","v Ireland","Dublin (Malahide)","19 May 2017","","BDESH","TRUE",2017-05-19,2017,19,5,139,11,2,"ODI"
"142","Rameez Shahzad (UAE)",87,"-",82,"6","4",106.09,"1","","v P.N.G.","Abu Dhabi","31 Mar 2017","","UAE","",2017-03-31,2017,31,3,90,6,4,"ODI"
"143","KS Williamson (NZ)",87,"132",98,"8","0",88.77,"2","","v England","Cardiff","6 Jun 2017","","NZ","",2017-06-06,2017,6,6,157,8,0,"ODI"
"144","EJG Morgan (ENG)",87,"121",81,"8","5",107.4,"2","","v Australia","Birmingham","10 Jun 2017","","ENG","",2017-06-10,2017,10,6,161,8,5,"ODI"
"145","S Dhawan (INDIA)",87,"-",92,"8","2",94.56,"1","","v West Indies","Port of Spain","23 Jun 2017","","INDIA","",2017-06-23,2017,23,6,174,8,2,"ODI"
"146","V Kohli (INDIA)",87,"-",66,"4","4",131.81,"1","","v West Indies","Port of Spain","25 Jun 2017","","INDIA","",2017-06-25,2017,25,6,176,4,4,"ODI"
"147","MM Ali (ENG)",87,"208",147,"8","0",59.18,"1","","v South Africa","Lord's","6 Jul 2017","","ENG","",2017-07-06,2017,6,7,187,8,0,"Test"
"148","MD Gunathilaka (SL)",87,"159",101,"7","0",86.13,"1","","v Zimbabwe","Hambantota","8 Jul 2017","","SL","",2017-07-08,2017,8,7,189,7,0,"ODI"
"149","HM Amla (SA)",87,"289",180,"14","1",48.33,"3","","v England","Nottingham","14 Jul 2017","","SA","",2017-07-14,2017,14,7,195,14,1,"Test"
"150","Soumya Sarkar (BDESH)",86,"157",104,"11","0",82.69,"1","","v New Zealand","Christchurch","20 Jan 2017","","BDESH","",2017-01-20,2017,20,1,20,11,0,"Test"
"151","BKG Mendis (SL)",86,"112",80,"8","1",107.5,"1","","v Zimbabwe","Galle","30 Jun 2017","","SL","",2017-06-30,2017,30,6,181,8,1,"ODI"
"152","A Balbirnie (IRE)",85,"85",74,"11","1",114.86,"2","","v Afghanistan","Greater Noida","19 Mar 2017","","IRE","TRUE",2017-03-19,2017,19,3,78,11,1,"ODI"
