"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date","","Country","Notout","Date","Year","Day","Month","Yday","Fours","Sixs","type"
"2957","BTJ Wheal (SCOT)",0,"-",1,"0","0",0,"1","","v Hong Kong","Abu Dhabi","22 Jan 2017","","SCOT","",2017-01-22,2017,22,1,22,0,0,"ODI"
"2958","AL Phehlukwayo (SA)",0,"3",2,"0","0",0,"1","","v Sri Lanka","Johannesburg","22 Jan 2017","","SA","",2017-01-22,2017,22,1,22,0,0,"T20I"
"2959","Babar Hayat (HKG)",0,"-",3,"0","0",0,"1","","v U.A.E.","Dubai (DSC)","26 Jan 2017","","HKG","",2017-01-26,2017,26,1,26,0,0,"ODI"
"2960","Shahid Wasif (HKG)",0,"-",7,"0","0",0,"1","","v U.A.E.","Dubai (DSC)","26 Jan 2017","","HKG","",2017-01-26,2017,26,1,26,0,0,"ODI"
"2961","A Mishra (INDIA)",0,"2",0,"0","0",NA,"1","","v England","Nagpur","29 Jan 2017","","INDIA","",2017-01-29,2017,29,1,29,0,0,"T20I"
"2962","TG Southee (NZ)",0,"1",2,"0","0",0,"1","","v Australia","Auckland","30 Jan 2017","","NZ","",2017-01-30,2017,30,1,30,0,0,"ODI"
"2963","JR Hazlewood (AUS)",0,"26",0,"0","0",NA,"2","","v New Zealand","Auckland","30 Jan 2017","","AUS","",2017-01-30,2017,30,1,30,0,0,"ODI"
"2964","PADLR Sandakan (SL)",0,"7",4,"0","0",0,"2","","v South Africa","Durban","1 Feb 2017","","SL","",2017-02-01,2017,1,2,32,0,0,"ODI"
"2965","SW Billings (ENG)",0,"8",1,"0","0",0,"2","","v India","Bengaluru","1 Feb 2017","","ENG","",2017-02-01,2017,1,2,32,0,0,"T20I"
"2966","JC Buttler (ENG)",0,"5",2,"0","0",0,"2","","v India","Bengaluru","1 Feb 2017","","ENG","",2017-02-01,2017,1,2,32,0,0,"T20I"
"2967","LE Plunkett (ENG)",0,"5",1,"0","0",0,"2","","v India","Bengaluru","1 Feb 2017","","ENG","",2017-02-01,2017,1,2,32,0,0,"T20I"
"2968","CJ Jordan (ENG)",0,"1",2,"0","0",0,"2","","v India","Bengaluru","1 Feb 2017","","ENG","",2017-02-01,2017,1,2,32,0,0,"T20I"
"2969","TS Mills (ENG)",0,"1",2,"0","0",0,"2","","v India","Bengaluru","1 Feb 2017","","ENG","",2017-02-01,2017,1,2,32,0,0,"T20I"
"2970","LD Madushanka (SL)",0,"10",7,"0","0",0,"1","","v South Africa","Johannesburg","4 Feb 2017","","SL","",2017-02-04,2017,4,2,35,0,0,"ODI"
"2971","RAS Lakmal (SL)",0,"9",6,"0","0",0,"1","","v South Africa","Johannesburg","4 Feb 2017","","SL","",2017-02-04,2017,4,2,35,0,0,"ODI"
"2972","TWM Latham (NZ)",0,"13",8,"0","0",0,"1","","v Australia","Hamilton","5 Feb 2017","","NZ","",2017-02-05,2017,5,2,36,0,0,"ODI"
"2973","LH Ferguson (NZ)",0,"1",1,"0","0",0,"1","","v Australia","Hamilton","5 Feb 2017","","NZ","",2017-02-05,2017,5,2,36,0,0,"ODI"
"2974","PSP Handscomb (AUS)",0,"2",2,"0","0",0,"2","","v New Zealand","Hamilton","5 Feb 2017","","AUS","",2017-02-05,2017,5,2,36,0,0,"ODI"
"2975","GJ Maxwell (AUS)",0,"3",3,"0","0",0,"2","","v New Zealand","Hamilton","5 Feb 2017","","AUS","",2017-02-05,2017,5,2,36,0,0,"ODI"
"2976","JP Faulkner (AUS)",0,"3",3,"0","0",0,"2","","v New Zealand","Hamilton","5 Feb 2017","","AUS","",2017-02-05,2017,5,2,36,0,0,"ODI"
"2977","Q de Kock (SA)",0,"10",4,"0","0",0,"1","","v New Zealand","Auckland","17 Feb 2017","","SA","",2017-02-17,2017,17,2,48,0,0,"T20I"
"2978","C Munro (NZ)",0,"1",1,"0","0",0,"2","","v South Africa","Auckland","17 Feb 2017","","NZ","",2017-02-17,2017,17,2,48,0,0,"T20I"
"2979","L Ronchi (NZ)",0,"1",1,"0","0",0,"2","","v South Africa","Auckland","17 Feb 2017","","NZ","",2017-02-17,2017,17,2,48,0,0,"T20I"
"2980","TD Paine (AUS)",0,"7",0,"0","0",NA,"1","","v Sri Lanka","Melbourne","17 Feb 2017","","AUS","",2017-02-17,2017,17,2,48,0,0,"T20I"
"2981","WU Tharanga (SL)",0,"5",2,"0","0",0,"2","","v Australia","Melbourne","17 Feb 2017","","SL","",2017-02-17,2017,17,2,48,0,0,"T20I"
"2982","TWM Latham (NZ)",0,"16",11,"0","0",0,"1","","v South Africa","Hamilton","19 Feb 2017","","NZ","",2017-02-19,2017,19,2,50,0,0,"ODI"
"2983","F Behardien (SA)",0,"2",1,"0","0",0,"2","","v New Zealand","Hamilton","19 Feb 2017","","SA","",2017-02-19,2017,19,2,50,0,0,"ODI"
"2984","CB Mpofu (ZIM)",0,"13",8,"0","0",0,"2","","v Afghanistan","Harare","19 Feb 2017","","ZIM","",2017-02-19,2017,19,2,50,0,0,"ODI"
"2985","AJ Tye (AUS)",0,"3",2,"0","0",0,"1","","v Sri Lanka","Geelong","19 Feb 2017","","AUS","",2017-02-19,2017,19,2,50,0,0,"T20I"
"2986","JA Richardson (AUS)",0,"2",1,"0","0",0,"1","","v Sri Lanka","Geelong","19 Feb 2017","","AUS","",2017-02-19,2017,19,2,50,0,0,"T20I"
"2987","TAM Siriwardana (SL)",0,"2",1,"0","0",0,"2","","v Australia","Geelong","19 Feb 2017","","SL","",2017-02-19,2017,19,2,50,0,0,"T20I"
"2988","CR Ervine (ZIM)",0,"1",1,"0","0",0,"1","","v Afghanistan","Harare","21 Feb 2017","","ZIM","",2017-02-21,2017,21,2,52,0,0,"ODI"
"2989","AG Cremer (ZIM)",0,"4",4,"0","0",0,"1","","v Afghanistan","Harare","21 Feb 2017","","ZIM","",2017-02-21,2017,21,2,52,0,0,"ODI"
"2990","TL Chatara (ZIM)",0,"1",1,"0","0",0,"1","","v Afghanistan","Harare","21 Feb 2017","","ZIM","",2017-02-21,2017,21,2,52,0,0,"ODI"
"2991","R Ngarava (ZIM)",0,"4",4,"0","0",0,"1","","v Afghanistan","Harare","21 Feb 2017","","ZIM","",2017-02-21,2017,21,2,52,0,0,"ODI"
"2992","Noor Ali Zadran (AFG)",0,"4",1,"0","0",0,"2","","v Zimbabwe","Harare","21 Feb 2017","","AFG","",2017-02-21,2017,21,2,52,0,0,"ODI"
"2993","Najibullah Zadran (AFG)",0,"1",1,"0","0",0,"2","","v Zimbabwe","Harare","21 Feb 2017","","AFG","",2017-02-21,2017,21,2,52,0,0,"ODI"
"2994","WD Parnell (SA)",0,"2",4,"0","0",0,"2","","v New Zealand","Christchurch","22 Feb 2017","","SA","",2017-02-22,2017,22,2,53,0,0,"ODI"
"2995","MD Shanaka (SL)",0,"-",2,"0","0",0,"2","","v Australia","Adelaide","22 Feb 2017","","SL","",2017-02-22,2017,22,2,53,0,0,"T20I"
"2996","SNJ O'Keefe (AUS)",0,"16",13,"0","0",0,"1","","v India","Pune","23 Feb 2017","","AUS","",2017-02-23,2017,23,2,54,0,0,"Test"
"2997","NM Lyon (AUS)",0,"1",1,"0","0",0,"1","","v India","Pune","23 Feb 2017","","AUS","",2017-02-23,2017,23,2,54,0,0,"Test"
"2998","V Kohli (INDIA)",0,"2",2,"0","0",0,"2","","v Australia","Pune","23 Feb 2017","","INDIA","",2017-02-23,2017,23,2,54,0,0,"Test"
"2999","WP Saha (INDIA)",0,"1",2,"0","0",0,"2","","v Australia","Pune","23 Feb 2017","","INDIA","",2017-02-23,2017,23,2,54,0,0,"Test"
"3000","SE Marsh (AUS)",0,"20",21,"0","0",0,"3","","v India","Pune","23 Feb 2017","","AUS","",2017-02-23,2017,23,2,54,0,0,"Test"
"3001","I Sharma (INDIA)",0,"1",2,"0","0",0,"4","","v Australia","Pune","23 Feb 2017","","INDIA","",2017-02-23,2017,23,2,54,0,0,"Test"
"3002","Ihsanullah (AFG)",0,"25",20,"0","0",0,"1","","v Zimbabwe","Harare","24 Feb 2017","","AFG","",2017-02-24,2017,24,2,55,0,0,"ODI"
"3003","TWM Latham (NZ)",0,"7",7,"0","0",0,"2","","v South Africa","Wellington","25 Feb 2017","","NZ","",2017-02-25,2017,25,2,56,0,0,"ODI"
"3004","NT Broom (NZ)",0,"11",4,"0","0",0,"2","","v South Africa","Wellington","25 Feb 2017","","NZ","",2017-02-25,2017,25,2,56,0,0,"ODI"
"3005","SC Williams (ZIM)",0,"2",1,"0","0",0,"2","","v Afghanistan","Harare","26 Feb 2017","","ZIM","",2017-02-26,2017,26,2,57,0,0,"ODI"
"3006","TL Chatara (ZIM)",0,"2",2,"0","0",0,"2","","v Afghanistan","Harare","26 Feb 2017","","ZIM","",2017-02-26,2017,26,2,57,0,0,"ODI"
"3007","R Ngarava (ZIM)",0,"4",4,"0","0",0,"2","","v Afghanistan","Harare","26 Feb 2017","","ZIM","",2017-02-26,2017,26,2,57,0,0,"ODI"
"3008","Q de Kock (SA)",0,"2",1,"0","0",0,"1","","v New Zealand","Hamilton","1 Mar 2017","","SA","",2017-03-01,2017,1,3,60,0,0,"ODI"
"3009","AR McBrine (IRE)",0,"-",1,"0","0",0,"1","","v U.A.E.","ICCA Dubai","2 Mar 2017","","IRE","",2017-03-02,2017,2,3,61,0,0,"ODI"
"3010","PKD Chase (IRE)",0,"-",1,"0","0",0,"1","","v U.A.E.","ICCA Dubai","2 Mar 2017","","IRE","",2017-03-02,2017,2,3,61,0,0,"ODI"
"3011","Zahoor Khan (UAE)",0,"-",20,"0","0",0,"2","","v Ireland","ICCA Dubai","2 Mar 2017","","UAE","",2017-03-02,2017,2,3,61,0,0,"ODI"
"3012","ST Gabriel (WI)",0,"6",4,"0","0",0,"2","","v England","North Sound","3 Mar 2017","","WI","",2017-03-03,2017,3,3,62,0,0,"ODI"
"3013","JS Patel (NZ)",0,"7",5,"0","0",0,"1","","v South Africa","Auckland","4 Mar 2017","","NZ","",2017-03-04,2017,4,3,63,0,0,"ODI"
"3014","A Mukund (INDIA)",0,"16",8,"0","0",0,"1","","v Australia","Bengaluru","4 Mar 2017","","INDIA","",2017-03-04,2017,4,3,63,0,0,"Test"
"3015","I Sharma (INDIA)",0,"1",1,"0","0",0,"1","","v Australia","Bengaluru","4 Mar 2017","","INDIA","",2017-03-04,2017,4,3,63,0,0,"Test"
"3016","MR Marsh (AUS)",0,"12",11,"0","0",0,"2","","v India","Bengaluru","4 Mar 2017","","AUS","",2017-03-04,2017,4,3,63,0,0,"Test"
"3017","NM Lyon (AUS)",0,"4",1,"0","0",0,"2","","v India","Bengaluru","4 Mar 2017","","AUS","",2017-03-04,2017,4,3,63,0,0,"Test"
"3018","KK Nair (INDIA)",0,"1",1,"0","0",0,"3","","v Australia","Bengaluru","4 Mar 2017","","INDIA","",2017-03-04,2017,4,3,63,0,0,"Test"
"3019","MS Wade (AUS)",0,"5",5,"0","0",0,"4","","v India","Bengaluru","4 Mar 2017","","AUS","",2017-03-04,2017,4,3,63,0,0,"Test"
"3020","SW Billings (ENG)",0,"2",1,"0","0",0,"2","","v West Indies","North Sound","5 Mar 2017","","ENG","",2017-03-05,2017,5,3,64,0,0,"ODI"
"3021","JC Buttler (ENG)",0,"7",7,"0","0",0,"2","","v West Indies","North Sound","5 Mar 2017","","ENG","",2017-03-05,2017,5,3,64,0,0,"ODI"
"3022","Taskin Ahmed (BDESH)",0,"5",1,"0","0",0,"2","","v Sri Lanka","Galle","7 Mar 2017","","BDESH","",2017-03-07,2017,7,3,66,0,0,"Test"
"3023","DAS Gunaratne (SL)",0,"4",3,"0","0",0,"3","","v Bangladesh","Galle","7 Mar 2017","","SL","",2017-03-07,2017,7,3,66,0,0,"Test"
"3024","Mahmudullah (BDESH)",0,"2",2,"0","0",0,"4","","v Sri Lanka","Galle","7 Mar 2017","","BDESH","",2017-03-07,2017,7,3,66,0,0,"Test"
"3025","Mustafizur Rahman (BDESH)",0,"7",5,"0","0",0,"4","","v Sri Lanka","Galle","7 Mar 2017","","BDESH","",2017-03-07,2017,7,3,66,0,0,"Test"
"3026","SC Cook (SA)",0,"2",4,"0","0",0,"3","","v New Zealand","Dunedin","8 Mar 2017","","SA","",2017-03-08,2017,8,3,67,0,0,"Test"
"3027","PR Stirling (IRE)",0,"2",2,"0","0",0,"1","","v Afghanistan","Greater Noida","8 Mar 2017","","IRE","",2017-03-08,2017,8,3,67,0,0,"T20I"
"3028","MM Ali (ENG)",0,"-",1,"0","0",0,"1","","v West Indies","Bridgetown","9 Mar 2017","","ENG","",2017-03-09,2017,9,3,68,0,0,"ODI"
"3029","E Lewis (WI)",0,"-",3,"0","0",0,"2","","v England","Bridgetown","9 Mar 2017","","WI","",2017-03-09,2017,9,3,68,0,0,"ODI"
"3030","JO Holder (WI)",0,"-",1,"0","0",0,"2","","v England","Bridgetown","9 Mar 2017","","WI","",2017-03-09,2017,9,3,68,0,0,"ODI"
"3031","Shafiqullah (AFG)",0,"3",1,"0","0",0,"1","","v Ireland","Greater Noida","10 Mar 2017","","AFG","",2017-03-10,2017,10,3,69,0,0,"T20I"
"3032","BJ McCarthy (IRE)",0,"1",1,"0","0",0,"2","","v Afghanistan","Greater Noida","10 Mar 2017","","IRE","",2017-03-10,2017,10,3,69,0,0,"T20I"
"3033","GJ Thompson (IRE)",0,"3",1,"0","0",0,"2","","v Afghanistan","Greater Noida","12 Mar 2017","","IRE","",2017-03-12,2017,12,3,71,0,0,"T20I"
"3034","BJ McCarthy (IRE)",0,"1",0,"0","0",NA,"2","","v Afghanistan","Greater Noida","12 Mar 2017","","IRE","",2017-03-12,2017,12,3,71,0,0,"T20I"
"3035","GC Wilson (IRE)",0,"-",1,"0","0",0,"2","","v Afghanistan","Greater Noida","15 Mar 2017","","IRE","",2017-03-15,2017,15,3,74,0,0,"ODI"
"3036","Taijul Islam (BDESH)",0,"3",1,"0","0",0,"2","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH","",2017-03-15,2017,15,3,74,0,0,"Test"
"3037","Mustafizur Rahman (BDESH)",0,"2",1,"0","0",0,"2","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH","",2017-03-15,2017,15,3,74,0,0,"Test"
"3038","DM de Silva (SL)",0,"9",7,"0","0",0,"3","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL","",2017-03-15,2017,15,3,74,0,0,"Test"
"3039","Imrul Kayes (BDESH)",0,"2",1,"0","0",0,"4","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH","",2017-03-15,2017,15,3,74,0,0,"Test"
"3040","NT Broom (NZ)",0,"7",4,"0","0",0,"1","","v South Africa","Wellington","16 Mar 2017","","NZ","",2017-03-16,2017,16,3,75,0,0,"Test"
"3041","C de Grandhomme (NZ)",0,"8",6,"0","0",0,"3","","v South Africa","Wellington","16 Mar 2017","","NZ","",2017-03-16,2017,16,3,75,0,0,"Test"
"3042","JS Patel (NZ)",0,"4",3,"0","0",0,"3","","v South Africa","Wellington","16 Mar 2017","","NZ","",2017-03-16,2017,16,3,75,0,0,"Test"
"3043","PJ Cummins (AUS)",0,"2",2,"0","0",0,"1","","v India","Ranchi","16 Mar 2017","","AUS","",2017-03-16,2017,16,3,75,0,0,"Test"
"3044","JR Hazlewood (AUS)",0,"10",2,"0","0",0,"1","","v India","Ranchi","16 Mar 2017","","AUS","",2017-03-16,2017,16,3,75,0,0,"Test"
"3045","Gulbadin Naib (AFG)",0,"3",1,"0","0",0,"1","","v Ireland","Greater Noida","17 Mar 2017","","AFG","",2017-03-17,2017,17,3,76,0,0,"ODI"
"3046","PKD Chase (IRE)",0,"6",2,"0","0",0,"2","","v Afghanistan","Greater Noida","17 Mar 2017","","IRE","",2017-03-17,2017,17,3,76,0,0,"ODI"
"3047","Rahmat Shah (AFG)",0,"10",4,"0","0",0,"1","","v Ireland","Greater Noida","22 Mar 2017","","AFG","",2017-03-22,2017,22,3,81,0,0,"ODI"
"3048","Rashid Khan (AFG)",0,"1",1,"0","0",0,"1","","v Ireland","Greater Noida","22 Mar 2017","","AFG","",2017-03-22,2017,22,3,81,0,0,"ODI"
"3049","TB de Bruyn (SA)",0,"9",3,"0","0",0,"1","","v New Zealand","Hamilton","25 Mar 2017","","SA","",2017-03-25,2017,25,3,84,0,0,"Test"
"3050","HM Nicholls (NZ)",0,"7",1,"0","0",0,"2","","v South Africa","Hamilton","25 Mar 2017","","NZ","",2017-03-25,2017,25,3,84,0,0,"Test"
"3051","B Kumar (INDIA)",0,"7",7,"0","0",0,"2","","v Australia","Dharamsala","25 Mar 2017","","INDIA","",2017-03-25,2017,25,3,84,0,0,"Test"
"3052","SNJ O'Keefe (AUS)",0,"5",4,"0","0",0,"3","","v India","Dharamsala","25 Mar 2017","","AUS","",2017-03-25,2017,25,3,84,0,0,"Test"
"3053","NM Lyon (AUS)",0,"6",6,"0","0",0,"3","","v India","Dharamsala","25 Mar 2017","","AUS","",2017-03-25,2017,25,3,84,0,0,"Test"
"3054","JR Hazlewood (AUS)",0,"18",9,"0","0",0,"3","","v India","Dharamsala","25 Mar 2017","","AUS","",2017-03-25,2017,25,3,84,0,0,"Test"
"3055","CA Pujara (INDIA)",0,"5",5,"0","0",0,"4","","v Australia","Dharamsala","25 Mar 2017","","INDIA","",2017-03-25,2017,25,3,84,0,0,"Test"
"3056","MD Gunathilaka (SL)",0,"-",3,"0","0",0,"2","","v Bangladesh","Dambulla","25 Mar 2017","","SL","",2017-03-25,2017,25,3,84,0,0,"ODI"
"3057","RAS Lakmal (SL)",0,"1",1,"0","0",0,"1","","v Bangladesh","Dambulla","28 Mar 2017","","SL","",2017-03-28,2017,28,3,87,0,0,"ODI"
"3058","N Pradeep (SL)",0,"1",1,"0","0",0,"1","","v Bangladesh","Dambulla","28 Mar 2017","","SL","",2017-03-28,2017,28,3,87,0,0,"ODI"
"3059","Kamran Akmal (PAK)",0,"-",5,"0","0",0,"1","","v West Indies","Port of Spain","30 Mar 2017","","PAK","",2017-03-30,2017,30,3,89,0,0,"T20I"
"3060","R Powell (WI)",0,"-",1,"0","0",0,"2","","v Pakistan","Port of Spain","30 Mar 2017","","WI","",2017-03-30,2017,30,3,89,0,0,"T20I"
"3061","N Pokana (PNG)",0,"-",2,"0","0",0,"2","","v U.A.E.","Abu Dhabi","31 Mar 2017","","PNG","",2017-03-31,2017,31,3,90,0,0,"ODI"
"3062","Sabbir Rahman (BDESH)",0,"-",3,"0","0",0,"2","","v Sri Lanka","Colombo (SSC)","1 Apr 2017","","BDESH","",2017-04-01,2017,1,4,91,0,0,"ODI"
"3063","Mushfiqur Rahim (BDESH)",0,"-",1,"0","0",0,"2","","v Sri Lanka","Colombo (SSC)","1 Apr 2017","","BDESH","",2017-04-01,2017,1,4,91,0,0,"ODI"
"3064","Imad Wasim (PAK)",0,"-",2,"0","0",0,"1","","v West Indies","Port of Spain","1 Apr 2017","","PAK","",2017-04-01,2017,1,4,91,0,0,"T20I"
"3065","Rameez Shahzad (UAE)",0,"-",2,"0","0",0,"2","","v P.N.G.","Abu Dhabi","2 Apr 2017","","UAE","",2017-04-02,2017,2,4,92,0,0,"ODI"
"3066","Mohammad Naveed (UAE)",0,"-",5,"0","0",0,"2","","v P.N.G.","Abu Dhabi","2 Apr 2017","","UAE","",2017-04-02,2017,2,4,92,0,0,"ODI"
"3067","JO Holder (WI)",0,"-",4,"0","0",0,"1","","v Pakistan","Port of Spain","2 Apr 2017","","WI","",2017-04-02,2017,2,4,92,0,0,"T20I"
"3068","D Bau (PNG)",0,"-",7,"0","0",0,"2","","v U.A.E.","Abu Dhabi","4 Apr 2017","","PNG","",2017-04-04,2017,4,4,94,0,0,"ODI"
"3069","S Bau (PNG)",0,"-",1,"0","0",0,"2","","v U.A.E.","Abu Dhabi","4 Apr 2017","","PNG","",2017-04-04,2017,4,4,94,0,0,"ODI"
"3070","JB Reva (PNG)",0,"-",3,"0","0",0,"2","","v U.A.E.","Abu Dhabi","4 Apr 2017","","PNG","",2017-04-04,2017,4,4,94,0,0,"ODI"
"3071","N Vanua (PNG)",0,"-",4,"0","0",0,"2","","v U.A.E.","Abu Dhabi","4 Apr 2017","","PNG","",2017-04-04,2017,4,4,94,0,0,"ODI"
"3072","Tamim Iqbal (BDESH)",0,"-",2,"0","0",0,"1","","v Sri Lanka","Colombo (RPS)","4 Apr 2017","","BDESH","",2017-04-04,2017,4,4,94,0,0,"T20I"
"3073","Mashrafe Mortaza (BDESH)",0,"-",1,"0","0",0,"1","","v Sri Lanka","Colombo (RPS)","6 Apr 2017","","BDESH","",2017-04-06,2017,6,4,96,0,0,"T20I"
"3074","Mehidy Hasan Miraz (BDESH)",0,"-",1,"0","0",0,"1","","v Sri Lanka","Colombo (RPS)","6 Apr 2017","","BDESH","",2017-04-06,2017,6,4,96,0,0,"T20I"
"3075","DAS Gunaratne (SL)",0,"-",1,"0","0",0,"2","","v Bangladesh","Colombo (RPS)","6 Apr 2017","","SL","",2017-04-06,2017,6,4,96,0,0,"T20I"
"3076","TAM Siriwardana (SL)",0,"-",1,"0","0",0,"2","","v Bangladesh","Colombo (RPS)","6 Apr 2017","","SL","",2017-04-06,2017,6,4,96,0,0,"T20I"
"3077","SL Malinga (SL)",0,"-",3,"0","0",0,"2","","v Bangladesh","Colombo (RPS)","6 Apr 2017","","SL","",2017-04-06,2017,6,4,96,0,0,"T20I"
"3078","D Bishoo (WI)",0,"-",0,"0","0",NA,"1","","v Pakistan","Providence","11 Apr 2017","","WI","",2017-04-11,2017,11,4,101,0,0,"ODI"
"3079","Kamran Akmal (PAK)",0,"-",1,"0","0",0,"2","","v West Indies","Providence","11 Apr 2017","","PAK","",2017-04-11,2017,11,4,101,0,0,"ODI"
"3080","VV Morea (PNG)",0,"-",3,"0","0",0,"1","","v U.A.E.","Abu Dhabi","12 Apr 2017","","PNG","",2017-04-12,2017,12,4,102,0,0,"T20I"
"3081","L Siaka (PNG)",0,"-",5,"0","0",0,"1","","v U.A.E.","Abu Dhabi","12 Apr 2017","","PNG","",2017-04-12,2017,12,4,102,0,0,"T20I"
"3082","N Vanua (PNG)",0,"-",1,"0","0",0,"2","","v U.A.E.","Abu Dhabi","14 Apr 2017","","PNG","",2017-04-14,2017,14,4,104,0,0,"T20I"
"3083","L Sreekumar (UAE)",0,"-",1,"0","0",0,"2","","v P.N.G.","Abu Dhabi","14 Apr 2017","","UAE","",2017-04-14,2017,14,4,104,0,0,"T20I"
"3084","KC Brathwaite (WI)",0,"7",5,"0","0",0,"1","","v Pakistan","Kingston","21 Apr 2017","","WI","",2017-04-21,2017,21,4,111,0,0,"Test"
"3085","AS Joseph (WI)",0,"9",6,"0","0",0,"1","","v Pakistan","Kingston","21 Apr 2017","","WI","",2017-04-21,2017,21,4,111,0,0,"Test"
"3086","SO Dowrich (WI)",0,"5",2,"0","0",0,"3","","v Pakistan","Kingston","21 Apr 2017","","WI","",2017-04-21,2017,21,4,111,0,0,"Test"
"3087","ST Gabriel (WI)",0,"4",3,"0","0",0,"3","","v Pakistan","Kingston","21 Apr 2017","","WI","",2017-04-21,2017,21,4,111,0,0,"Test"
"3088","Babar Azam (PAK)",0,"5",2,"0","0",0,"2","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,0,0,"Test"
"3089","Younis Khan (PAK)",0,"16",9,"0","0",0,"2","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,0,0,"Test"
"3090","Babar Azam (PAK)",0,"6",2,"0","0",0,"4","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,0,0,"Test"
"3091","Misbah-ul-Haq (PAK)",0,"15",8,"0","0",0,"4","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,0,0,"Test"
"3092","Asad Shafiq (PAK)",0,"2",2,"0","0",0,"4","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,0,0,"Test"
"3093","Yasir Shah (PAK)",0,"14",8,"0","0",0,"4","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,0,0,"Test"
"3094","GH Dockrell (IRE)",0,"3",3,"0","0",0,"1","","v England","Bristol","5 May 2017","","IRE","",2017-05-05,2017,5,5,125,0,0,"ODI"
"3095","JJ Roy (ENG)",0,"6",5,"0","0",0,"2","","v Ireland","Bristol","5 May 2017","","ENG","",2017-05-05,2017,5,5,125,0,0,"ODI"
"3096","Yasir Shah (PAK)",0,"2",1,"0","0",0,"1","","v West Indies","Roseau","10 May 2017","","PAK","",2017-05-10,2017,10,5,130,0,0,"Test"
"3097","D Bishoo (WI)",0,"3",1,"0","0",0,"2","","v Pakistan","Roseau","10 May 2017","","WI","",2017-05-10,2017,10,5,130,0,0,"Test"
"3098","AS Joseph (WI)",0,"9",8,"0","0",0,"2","","v Pakistan","Roseau","10 May 2017","","WI","",2017-05-10,2017,10,5,130,0,0,"Test"
"3099","ST Gabriel (WI)",0,"15",6,"0","0",0,"2","","v Pakistan","Roseau","10 May 2017","","WI","",2017-05-10,2017,10,5,130,0,0,"Test"
"3100","Babar Azam (PAK)",0,"22",10,"0","0",0,"3","","v West Indies","Roseau","10 May 2017","","PAK","",2017-05-10,2017,10,5,130,0,0,"Test"
"3101","Sabbir Rahman (BDESH)",0,"-",3,"0","0",0,"1","","v Ireland","Dublin (Malahide)","12 May 2017","","BDESH","",2017-05-12,2017,12,5,132,0,0,"ODI"
"3102","C Munro (NZ)",0,"-",1,"0","0",0,"1","","v Ireland","Dublin (Malahide)","14 May 2017","","NZ","",2017-05-14,2017,14,5,134,0,0,"ODI"
"3103","PR Stirling (IRE)",0,"-",3,"0","0",0,"1","","v Bangladesh","Dublin (Malahide)","19 May 2017","","IRE","",2017-05-19,2017,19,5,139,0,0,"ODI"
"3104","PKD Chase (IRE)",0,"-",1,"0","0",0,"1","","v Bangladesh","Dublin (Malahide)","19 May 2017","","IRE","",2017-05-19,2017,19,5,139,0,0,"ODI"
"3105","PR Stirling (IRE)",0,"-",9,"0","0",0,"2","","v New Zealand","Dublin (Malahide)","21 May 2017","","IRE","",2017-05-21,2017,21,5,141,0,0,"ODI"
"3106","A Balbirnie (IRE)",0,"-",5,"0","0",0,"2","","v New Zealand","Dublin (Malahide)","21 May 2017","","IRE","",2017-05-21,2017,21,5,141,0,0,"ODI"
"3107","Simi Singh (IRE)",0,"-",8,"0","0",0,"2","","v New Zealand","Dublin (Malahide)","21 May 2017","","IRE","",2017-05-21,2017,21,5,141,0,0,"ODI"
"3108","MJ Santner (NZ)",0,"-",6,"0","0",0,"1","","v Bangladesh","Dublin","24 May 2017","","NZ","",2017-05-24,2017,24,5,144,0,0,"ODI"
"3109","Soumya Sarkar (BDESH)",0,"-",1,"0","0",0,"2","","v New Zealand","Dublin","24 May 2017","","BDESH","",2017-05-24,2017,24,5,144,0,0,"ODI"
"3110","AU Rashid (ENG)",0,"3",1,"0","0",0,"1","","v South Africa","Lord's","29 May 2017","","ENG","",2017-05-29,2017,29,5,149,0,0,"ODI"
"3111","TA Boult (NZ)",0,"-",2,"0","0",0,"1","","v Australia","Birmingham","2 Jun 2017","","NZ","",2017-06-02,2017,2,6,153,0,0,"ODI"
"3112","Shafiqullah (AFG)",0,"-",3,"0","0",0,"1","","v West Indies","Basseterre","2 Jun 2017","","AFG","",2017-06-02,2017,2,6,153,0,0,"T20I"
"3113","CK Kapugedera (SL)",0,"3",1,"0","0",0,"2","","v South Africa","The Oval","3 Jun 2017","","SL","",2017-06-03,2017,3,6,154,0,0,"ODI"
